,measure,cgct_lm_nobae,cgct_nn_nobae,cgct_dr_nobae,cgct_gps_nobae,cgct_rf_nobae
0,run 1,0.28127261059116215,0.29075816620621775,0.37611891880446746,0.2634268255448789,0.17017445277509538
1,run 2,0.2606960168040436,0.30894192766408407,0.306198868696176,0.2753686486207496,0.16823789160702024
2,run 3,0.2682167029129498,0.31558276998983015,0.27166740743007406,0.2786297326707985,0.16971762280508937
3,run 4,0.27009224716590446,0.3201331866008338,0.3654152401261766,0.2816953373070171,0.17059533901979237
4,run 5,0.26756809483371313,0.2556151914163408,0.2776937391900739,0.2864469250215891,0.17377955445405877
5,run 6,0.26722687793193317,0.32654544928196505,0.29760744519398696,0.2785598798756345,0.1732638283020836
6,run 7,0.27008165871105994,0.29801941026476436,0.32380415039417837,0.28838145116782465,0.16940614103049717
7,run 8,0.2681334338384889,0.38448925464827755,0.2983755300315753,0.2756486715724656,0.17084327921305614
8,run 9,0.2642930003700825,0.288336300481245,0.3041814878141338,0.28295489106832306,0.17034179975964936
9,run 10,0.262815273387002,0.2568594099360398,0.28013533459051465,0.2824997219332101,0.1777597658323314
10,mean,0.268039591654634,0.30452810664895985,0.3101198122271357,0.27936120847824913,0.17141196747986737
11,median,0.267850764336101,0.3034806689644242,0.30127850892285457,0.2801625349889078,0.17046856938972088
12,sd,0.005574522894254558,0.03715236104666945,0.03555115103794532,0.007028437032765262,0.002788175264653568
