,measure,cgct_lm_nocfgen,cgct_nn_nocfgen,cgct_dr_nocfgen,cgct_gps_nocfgen,cgct_rf_nocfgen
0,run 1,0.18063142850669217,0.2126706389095347,0.2308303933432379,0.18353677471735438,0.17303512056367773
1,run 2,0.18063142850669217,0.29057966140501207,4.677920341938627,0.16853788705643935,0.17303512056367773
2,run 3,0.18063142850669217,1.2275322326213929,0.26866194570224305,0.17637210294276312,0.17303512056367773
3,run 4,0.18063142850669217,0.1862364491493507,0.22486973693659487,0.20981107334679575,0.1730351205636777
4,run 5,0.18063142850669217,0.27418691456887356,3.1790335489664248,0.18691249849760888,0.17303512056367773
5,run 6,0.18063142850669217,0.4140824375864893,0.4532407080463656,0.19032969644949613,0.17303512056367773
6,run 7,0.18063142850669217,0.6447308630185868,1.691690961134484,0.17568998931262497,0.1730351205636777
7,run 8,0.18063142850669217,0.7487992481906701,0.1925047366948084,0.16620377896940064,0.17303512056367773
8,run 9,0.18063142850669217,0.1979836038067931,2.8413857351470395,0.22582626618318832,0.17303512056367773
9,run 10,0.18063142850669217,0.28679111285295417,0.22988702480495976,0.19159152617651412,0.17303512056367773
10,mean,0.18063142850669217,0.4483593162109657,1.3990025132714785,0.18748115936521856,0.1730351205636777
11,median,0.18063142850669217,0.2886853871289831,0.3609513268743043,0.18522463660748162,0.17303512056367773
12,sd,0.0,0.3342307173706256,1.626986494544191,0.01851089891466972,2.6168207644729584e-17
