,measure,lm,nn,gps,dr,sci,cgct_gps,rf,cgct_rf
0,run 1,0.17318015566557318,0.6001397563161704,0.21039376972160428,0.8064896049113901,4.428554858623662,0.3324909896649351,0.17117275567600304,0.39260710362881523
1,run 2,0.17318015566557318,0.3789427772354356,0.21039376972160428,0.6961559412012112,3.802102262744543,0.3373767848833855,0.17117275567600304,0.3996859556311351
2,run 3,0.17318015566557318,0.25337443859432807,0.21039376972160428,0.5527110789585576,1.7268072440390425,0.3402128555181397,0.17117275567600304,0.4141094243875665
3,run 4,0.17318015566557318,0.20002970450972077,0.21039376972160428,0.4493369449267192,5.76878875193248,0.33855908896833803,0.17117275567600304,0.37526049647251825
4,run 5,0.17318015566557318,0.5241512101779907,0.21039376972160428,0.7427494574869787,5.610893641285239,0.3408034568665546,0.17117275567600304,0.3898035458260543
5,run 6,0.17318015566557318,0.2681407308357511,0.21039376972160428,0.452693905723756,2.2771249924233574,0.33351511613728585,0.17117275567600304,0.32566860744175063
6,run 7,0.17318015566557318,0.6088513295986488,0.21039376972160428,0.4789095545064572,8.48417285073342,0.33830943038000316,0.17117275567600304,0.3318312972424357
7,run 8,0.17318015566557318,0.23094113601370317,0.21039376972160428,0.6352789241317901,7.702508765407088,0.33340308395444723,0.17117275567600304,0.35236619434045335
8,run 9,0.17318015566557318,0.22231230528026602,0.21039376972160428,0.2689977615940249,11.09777199356104,0.3332011359450646,0.17117275567600304,0.33351508616402864
9,run 10,0.17318015566557318,0.4742662252232814,0.21039376972160428,0.33836885969170516,15.791056254573911,0.32656444363123627,0.17117275567600304,0.3991004339220766
10,mean,0.17318015566557318,0.3761149613785296,0.21039376972160428,0.542169203313259,6.668978161532378,0.335443638594939,0.17117275567600304,0.37139481450568346
11,median,0.17318015566557318,0.3235417540355934,0.21039376972160428,0.5158103167325074,5.689841196608859,0.33544595051033566,0.17117275567600304,0.3825320211492863
12,sd,0.0,0.1627438712311595,0.0,0.17618577210750322,4.295623435132708,0.004391899731636918,0.0,0.03274384441192044
