Y_obs_pred,Y_opt_pred
751.1663930194117,748.0501559897043
779.2761248711905,769.2480052233836
750.4434459538204,749.1796343011983
748.101071525276,747.2646399746087
769.1292956048837,763.6639214185175
778.9418786419449,769.6170120388447
750.06658757127,748.2408378705801
754.4598669193002,752.8151734803282
749.3611505794486,746.8310813901952
759.7918112894532,756.7344247951343
750.2273440631261,745.924272186824
747.8179132443798,744.2025507398344
747.6077853283051,746.5886441516191
753.2718177672673,749.9841313824755
767.2479827048161,755.1340847966715
757.7860311412614,752.6816901171816
749.7631446615246,745.944756093
746.8220288678671,745.2075757830729
750.6761746845569,745.2653759041106
749.1087644256559,747.5735150724511
