,measure,lm,nn,gps,dr,sci,cgct_gps,rf,cgct_rf,cf,cgct_cf
0,run 1,0.11677961314893667,0.17289541700984978,0.11944046377363508,1.945804495859409,5.250122876453121,0.12176085878354995,0.11658220407212758,0.11880040487797577,0.11350821984970869,0.12318248824612224
1,run 2,0.11677961314893667,0.24615201240151607,0.11944046377363508,0.17984717026350378,0.73166760648594,0.12076810910352183,0.11658220407212758,0.12171174419451856,0.11343195121443728,0.12083454423000609
2,run 3,0.11677961314893667,0.12899365228912077,0.11944046377363508,1.1007469373636503,8.256910883362963,0.11874132898533545,0.11658220407212758,0.12182139929054749,0.11342031074459825,0.1228043286587042
3,run 4,0.11677961314893667,0.1613713933850514,0.11944046377363508,0.12294282415218728,0.8011536975268925,0.12115911388734074,0.11658220407212758,0.1177193766134714,0.11312735152781427,0.11979452980693263
4,run 5,0.11677961314893667,0.13879893835609788,0.11944046377363508,0.25182396856659844,3.7111923409723455,0.11983108983504547,0.11658220407212758,0.11942779790227752,0.11541651810450423,0.11956953453098697
5,run 6,0.11677961314893667,0.11990981173102959,0.11944046377363508,0.332809903992426,1.8630289114350171,0.11891157633984938,0.11658220407212759,0.12811301962282884,0.11409651534966121,0.12296548249626345
6,run 7,0.11677961314893667,0.17544974725155416,0.11944046377363508,0.31354329468747405,0.6550119601100691,0.11845192361550035,0.11658220407212758,0.11702603063229967,0.11355274352608995,0.11573329626517366
7,run 8,0.11677961314893667,0.17166710951410405,0.11944046377363508,0.27977001613646246,0.4917284607358821,0.11966120676253089,0.11658220407212758,0.1175678495439622,0.1134633571996449,0.11974626924157984
8,run 9,0.11677961314893667,0.27398187289978215,0.11944046377363508,0.28136357981804444,2.8649471243988502,0.1186143916758111,0.11658220407212758,0.12178070357824497,0.1137762728857624,0.12114530276248886
9,run 10,0.11677961314893667,0.20207095297915917,0.11944046377363508,1.042950705035953,5.341323338236734,0.11951468451202094,0.11658220407212758,0.11869774992686088,0.1143862271816824,0.11382242297336984
10,mean,0.11677961314893667,0.1791290907817265,0.11944046377363508,0.5851602895875707,2.9967087199717812,0.11974142835005061,0.11658220407212758,0.12026660761829873,0.11381794675839037,0.11995981992116278
11,median,0.11677961314893667,0.1722812632619769,0.11944046377363508,0.29745343725275925,2.3639880179169337,0.11958794563727591,0.11658220407212758,0.11911410139012665,0.11353048168789931,0.12031453701846936
12,sd,0.0,0.049537719609130865,0.0,0.5905556041068369,2.619737914293039,0.0011464815550515292,4.625929269271485e-18,0.0032990259774351082,0.0006694721103876211,0.003081084435702943
